INCIDENT NUMBER,RESPONSE TYPE,FOUND IN SEARCH AREA
NY-2018-WS-353,Rescue,TRUE
NY-2018-WS-352,Rescue,FALSE
NY-2018-WS-351,Search,TRUE
NY-2018-WS-350,Rescue,TRUE
NY-2018-WS-350,Rescue,TRUE
NY-2018-WS-350,Rescue,TRUE
NY-2018-WS-349,Search,TRUE
NY-2018-WS-348,Search,TRUE
NY-2018-WS-347,Rescue,TRUE
NY-2018-WS-346,Search,TRUE
NY-2018-WS-345,Search,FALSE
NY-2018-WS-344,Recovery,TRUE
NY-2018-WS-343,Rescue,TRUE
NY-2018-WS-343,Rescue,TRUE
NY-2018-WS-342,Rescue,TRUE
NY-2018-WS-341,Recovery,TRUE
NY-2018-WS-338,Rescue,FALSE
NY-2018-WS-337,Search,FALSE
NY-2018-WS-336,Rescue,FALSE
NY-2018-WS-336,Rescue,FALSE
NY-2018-WS-335,Rescue,TRUE
NY-2018-WS-334,Rescue,FALSE
NY-2018-WS-333,Search,TRUE
NY-2018-WS-332,Search,TRUE
NY-2018-WS-331,Search,TRUE
NY-2018-WS-331,Search,TRUE
NY-2018-WS-330,Recovery,TRUE
NY-2018-WS-329,Rescue,TRUE
NY-2018-WS-328,Search,TRUE
NY-2018-WS-327,Rescue,FALSE
NY-2018-WS-326,Rescue,TRUE
NY-2018-WS-325,Search,TRUE
NY-2018-WS-324,Search,FALSE
NY-2018-WS-324,Search,FALSE
NY-2018-WS-323,Search,TRUE
NY-2018-WS-323,Search,TRUE
NY-2018-WS-322,Search,TRUE
NY-2018-WS-321,Search,TRUE
NY-2018-WS-321,Search,TRUE
NY-2018-WS-320,Rescue,TRUE
NY-2018-WS-319,Search,TRUE
NY-2018-WS-319,Search,TRUE
NY-2018-WS-318,Search,FALSE
NY-2018-WS-317,Rescue,TRUE
NY-2018-WS-316,Search,TRUE
NY-2018-WS-315,Search,TRUE
NY-2018-WS-314,Search,TRUE
NY-2018-WS-313,Rescue,TRUE
NY-2018-WS-313,Rescue,TRUE
NY-2018-WS-312,Search,TRUE
NY-2018-WS-311,Search,FALSE
NY-2018-WS-310,Search,FALSE
NY-2018-WS-309,Rescue,TRUE
NY-2018-WS-308,Rescue,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-306,Rescue,TRUE
NY-2018-WS-305,Rescue,TRUE
NY-2018-WS-304,Search,FALSE
NY-2018-WS-303,Rescue,FALSE
NY-2018-WS-302,Rescue,TRUE
NY-2018-WS-301,Search,TRUE
NY-2018-WS-300,Search,TRUE
NY-2018-WS-300,Search,TRUE
NY-2018-WS-299,Search,FALSE
NY-2018-WS-298,Rescue,FALSE
NY-2018-WS-297,Search,TRUE
NY-2018-WS-297,Search,TRUE
NY-2018-WS-296,Search,FALSE
NY-2018-WS-296,Search,FALSE
NY-2018-WS-295,Rescue,TRUE
NY-2018-WS-294,Search,TRUE
NY-2018-WS-293,Search,TRUE
NY-2018-WS-293,Search,TRUE
NY-2018-WS-292,Rescue,TRUE
NY-2018-WS-291,Search,TRUE
NY-2018-WS-291,Search,TRUE
NY-2018-WS-290,Search,TRUE
NY-2018-WS-290,Search,TRUE
NY-2018-WS-289,Rescue,FALSE
NY-2018-WS-288,Search,TRUE
NY-2018-WS-287,Search,TRUE
NY-2018-WS-286,Rescue,TRUE
NY-2018-WS-285,Rescue,FALSE
NY-2018-WS-284,Search,TRUE
NY-2018-WS-283,Search,TRUE
NY-2018-WS-282,Search,TRUE
NY-2018-WS-281,Search,TRUE
NY-2018-WS-280,Rescue,FALSE
NY-2018-WS-279,Rescue,TRUE
NY-2018-WS-278,Search,TRUE
NY-2018-WS-278,Search,TRUE
NY-2018-WS-277,Rescue,TRUE
NY-2018-WS-276,Rescue,TRUE
NY-2018-WS-275,Search,TRUE
NY-2018-WS-274,Rescue,TRUE
NY-2018-WS-273,Rescue,TRUE
NY-2018-WS-272,Search,TRUE
NY-2018-WS-272,Search,TRUE
NY-2018-WS-272,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-270,Search,TRUE
NY-2018-WS-269,Search,FALSE
NY-2018-WS-267,Search,TRUE
NY-2018-WS-266,Search,TRUE
NY-2018-WS-266,Search,TRUE
NY-2018-WS-264,Search,TRUE
NY-2018-WS-264,Search,TRUE
NY-2018-WS-263,Rescue,TRUE
NY-2018-WS-263,Rescue,TRUE
NY-2018-WS-263,Rescue,TRUE
NY-2018-WS-262,Rescue,TRUE
NY-2018-WS-261,Rescue,TRUE
NY-2018-WS-260,Search,TRUE
NY-2018-WS-259,Rescue,FALSE
NY-2018-WS-259,Rescue,FALSE
NY-2018-WS-258,Search,FALSE
NY-2018-WS-257,Rescue,FALSE
NY-2018-WS-256,Rescue,TRUE
NY-2018-WS-255,Search,TRUE
NY-2018-WS-255,Search,TRUE
NY-2018-WS-254,Search,FALSE
NY-2018-WS-254,Search,TRUE
NY-2018-WS-253,Search,TRUE
NY-2018-WS-252,Rescue,FALSE
NY-2018-WS-251,Search,FALSE
NY-2018-WS-251,Search,TRUE
NY-2018-WS-250,Search,FALSE
NY-2018-WS-249,Search,TRUE
NY-2018-WS-248,Rescue,TRUE
NY-2018-WS-247,Rescue,TRUE
NY-2018-WS-247,Rescue,TRUE
NY-2018-WS-246,Rescue,FALSE
NY-2018-WS-245,Rescue,FALSE
NY-2018-WS-244,Rescue,TRUE
NY-2018-WS-243,Search,FALSE
NY-2018-WS-243,Search,FALSE
NY-2018-WS-242,Search,TRUE
NY-2018-WS-241,Search,FALSE
NY-2018-WS-240,Search,FALSE
NY-2018-WS-239,Rescue,TRUE
NY-2018-WS-239,Rescue,TRUE
NY-2018-WS-238,Search,FALSE
NY-2018-WS-238,Search,TRUE
NY-2018-WS-237,Search,TRUE
NY-2018-WS-237,Search,TRUE
NY-2018-WS-236,Recovery,TRUE
NY-2018-WS-235,Search,TRUE
NY-2018-WS-235,Search,FALSE
