INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,NYS Municipal Boundaries,New York Zip Codes,Location,Counties
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-2018-WS-353,5,Rescue,1/1/2019,5:45 AM,1,F,47,NY,US,Hiking,Lost,43.57117,-73.69359,1135,TRUE,Assist/own power,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,TRUE,FALSE,1/1/2019,7:50 AM,826,801,POINT (-73.69359 43.57117),2183
NY-2018-WS-352,5,Rescue,1/1/2019,9:34 AM,1,M,28,NY,US,Hiking,Injured,44.15187,-74.98706,2497,FALSE,Assist/own power,4,TRUE,Forest Preserve,Giant Mt Wilderness Area,ESSEX,KEENE,TRUE,FALSE,1/1/2019,1:43 AM,332,1617,POINT (-74.98706 44.15187),2140
NY-2018-WS-351,8,Search,12/31/2018,1:35 AM,1,M,71,NY,US,Walking,Missing,43.1758,-78.19731,658,TRUE,Dive Team,8,TRUE,Private Land,NA,ORLEANS,BARRE,FALSE,FALSE,1/1/2019,10:00 AM,506,170,POINT (-78.19731 43.1758),626
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,2,F,11,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,Assist/own power,2,FALSE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/31/2018,4:30 AM,820,128,POINT (-73.72083 43.41132),2183
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,1,F,37,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,Assist/own power,2,FALSE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/31/2018,4:30 AM,820,128,POINT (-73.72083 43.41132),2183
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,3,F,8,CT,US,Hiking,Stranded,43.41132,-73.72083,480,TRUE,Assist/own power,2,FALSE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/31/2018,4:30 AM,820,128,POINT (-73.72083 43.41132),2183
NY-2018-WS-349,3,Search,12/31/2018,12:15 PM,1,M,79,NY,US,Walking,Missing,41.61233,-74.30353,345,TRUE,Assist/own power,11,TRUE,Private Land,N/A,ORANGE,CRAWFORD,FALSE,FALSE,1/1/2019,11:00 AM,879,1001,POINT (-74.30353 41.61233),2182
NY-2018-WS-348,4,Search,12/29/2018,5:45 AM,1,F,60,NY,US,Walking,Missing,42.36947,-74.12463,984,TRUE,Assist/own power,2,TRUE,Private Land,none,GREENE,DURHAM,FALSE,FALSE,12/29/2018,8:00 AM,758,114,POINT (-74.12463 42.36947),2087
NY-2018-WS-347,5,Rescue,12/29/2018,10:58 AM,1,M,50,PA,US,Climbing:Rock/Ice,Injured,44.24525,-73.87443,2600,TRUE,Technical Rope; Vehicle/boat evacuation,8,TRUE,Forest Preserve,Sentinel Wilderness,ESSEX,KEENE,TRUE,FALSE,12/29/2018,2:30 AM,442,271,POINT (-73.87443 44.24525),2084
NY-2018-WS-346,4,Search,12/26/2018,2:50 AM,1,M,60,NY,US,Hiking,Lost,42.17673,-74.1062,2797,TRUE,Assist/own power,2,TRUE,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,FALSE,TRUE,12/26/2018,5:00 AM,755,121,POINT (-74.1062 42.17673),2087
NY-2018-WS-345,3,Search,12/25/2018,6:41 AM,1,M,30,NY,US,Despondent,Missing,41.71818,-74.39418,351,FALSE,Assist/own power,15,TRUE,OPRHP State Land,Sam's Point Preserve,ULSTER,WAWARSING,FALSE,FALSE,12/26/2018,8:30 AM,407,122,POINT (-74.39418 41.71818),2182
NY-2018-WS-344,3,Recovery,12/25/2018,4:20 AM,1,M,41,MD,US,Climbing:Rock/Ice,Injured,41.7503,-74.17324,1000,TRUE,Carry out by foot; Technical Rope,4,TRUE,Private Land,N/A,ULSTER,ROCHESTER,FALSE,FALSE,12/25/2018,6:10 AM,413,190,POINT (-74.17324 41.7503),2182
NY-2018-WS-343,5,Rescue,12/22/2018,3:13 AM,2,F,25,NY,US,Hiking,Stranded,43.42364,-73.74765,1855,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/22/2018,4:38 AM,820,128,POINT (-73.74765000000001 43.42364),2183
NY-2018-WS-343,5,Rescue,12/22/2018,3:13 AM,1,M,26,NY,US,Hiking,Stranded,43.42364,-73.74765,1855,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,TRUE,FALSE,12/22/2018,4:38 AM,820,128,POINT (-73.74765000000001 43.42364),2183
NY-2018-WS-342,5,Rescue,12/21/2018,3:00 AM,1,F,36,NY,US,Hiking,Lost,44.12995,-73.95586,4602,TRUE,Assist/own power,4,TRUE,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,TRUE,FALSE,12/21/2018,11:00 AM,442,272,POINT (-73.95586000000002 44.12995),2084
NY-2018-WS-341,5,Recovery,12/18/2018,8:07 AM,1,M,52,NY,US,Despondent,Illness,44.02448,-73.68698,995,TRUE,Carry out by foot,1,TRUE,Forest Preserve,Hammond Pond Wild Forest,ESSEX,NORTH HUDSON,TRUE,FALSE,12/18/2018,9:06 AM,429,136,POINT (-73.68698 44.02448),2084
NY-2018-WS-338,5,Rescue,12/16/2018,9:21 AM,1,,,NY,US,Skiing,Stranded,43.67578,-73.62522,2800,FALSE,Assist/own power; Technical Rope,10,TRUE,Forest Preserve,Siamese Ponds Wilderness,WARREN,JOHNSBURG,TRUE,FALSE,12/16/2018,12:18 PM,823,98,POINT (-73.62522 43.67578),2183
NY-2018-WS-337,3,Search,12/12/2018,4:47 AM,1,F,9,NY,US,Criminal,Missing,41.83005,-74.07664,230,FALSE,Vehicle/boat evacuation,7,TRUE,Private Land,n/a,ULSTER,ROSENDALE,FALSE,FALSE,12/12/2018,6:00 AM,412,898,POINT (-74.07664 41.83005),2182
NY-2018-WS-336,7,Rescue,12/12/2018,2:00 AM,2,F,29,NY,US,Hiking,Stranded,42.80072,-76.02557,1731,FALSE,Vehicle/boat evacuation,2,FALSE,State Forests,Morgan Hill State Forest,ONONDAGA,FABIUS,FALSE,FALSE,12/12/2018,3:30 AM,700,696,POINT (-76.02557 42.80072),2132
NY-2018-WS-336,7,Rescue,12/12/2018,2:00 AM,1,F,28,NY,US,Hiking,Stranded,42.80072,-76.02557,1731,FALSE,Vehicle/boat evacuation,2,FALSE,State Forests,Morgan Hill State Forest,ONONDAGA,FABIUS,FALSE,FALSE,12/12/2018,3:30 AM,700,696,POINT (-76.02557 42.80072),2132
NY-2018-WS-335,9,Rescue,12/12/2018,7:40 AM,1,M,68,NY,US,Hunting,Illness,42.24742,-78.66043,1800,TRUE,Assist/own power; Vehicle/boat evacuation,2,TRUE,State Forests,McCarty SF,CATTARAUGUS,GREAT VALLEY,FALSE,FALSE,12/12/2018,10:00 AM,360,1719,POINT (-78.66043 42.24742),2034
NY-2018-WS-334,4,Rescue,12/10/2018,10:30 AM,1,M,26,NY,US,Hunting,Injured,42.58788,-74.49577,1951,FALSE,Vehicle/boat evacuation,1,TRUE,State Forests,Mallet Pond,SCHOHARIE,FULTON,FALSE,FALSE,12/10/2018,2:00 AM,151,1312,POINT (-74.49577 42.58788),629
NY-2018-WS-333,5,Search,12/11/2018,2:44 AM,1,M,38,ON,CA,Hiking,Lost,44.14339,-73.87723,5020,TRUE,Assist/own power,12,TRUE,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,TRUE,FALSE,12/12/2018,1:45 AM,442,272,POINT (-73.87723 44.14339),2084
NY-2018-WS-332,8,Search,12/2/2018,7:00 AM,1,M,57,NY,US,Despondent,Missing,43.14792,-77.71059,559,TRUE,Carry out by foot,5,TRUE,Private Land,N/A,MONROE,GATES,FALSE,FALSE,12/4/2018,5:00 AM,549,1683,POINT (-77.71059 43.14792),2093
NY-2018-WS-331,7,Search,12/3/2018,5:50 AM,1,F,43,NY,US,Skiing,Lost,42.40517,-76.31427,1747,TRUE,Vehicle/boat evacuation,2,TRUE,State Forests,Hammond Hill State Forest,TOMPKINS,DRYDEN,FALSE,FALSE,12/4/2018,12:12 PM,714,1763,POINT (-76.31427 42.40517),2181
NY-2018-WS-331,7,Search,12/3/2018,5:50 AM,2,F,56,NY,US,Skiing,Lost,42.40517,-76.31427,1747,TRUE,Vehicle/boat evacuation,2,TRUE,State Forests,Hammond Hill State Forest,TOMPKINS,DRYDEN,FALSE,FALSE,12/4/2018,12:12 PM,714,1763,POINT (-76.31427 42.40517),2181
NY-2018-WS-330,5,Recovery,12/3/2018,3:42 AM,1,M,51,ON,CA,Hiking,Illness,43.95811,-74.49534,2630,TRUE,Carry out by foot,3,TRUE,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,LONG LAKE,TRUE,FALSE,12/3/2018,9:51 AM,864,130,POINT (-74.49534 43.95811),622
NY-2018-WS-329,5,Rescue,12/1/2018,4:01 AM,1,F,29,ON,CA,Hiking,Lost,44.33535,-73.94321,3508,TRUE,Vehicle/boat evacuation,2,TRUE,Forest Preserve,High Peaks Wilderness,ESSEX,WILMINGTON,TRUE,FALSE,12/1/2018,7:20 AM,430,275,POINT (-73.94321 44.33535),2084
NY-2018-WS-328,6,Search,11/27/2018,7:15 AM,1,M,50,NY,US,Hunting,Lost,44.36704,-75.30806,609,TRUE,Assist/own power,4,TRUE,State Forests,Wolf Lake State Forest,ST LAWRENCE,EDWARDS,FALSE,FALSE,11/27/2018,8:30 AM,328,1525,POINT (-75.30806 44.36704),2140
NY-2018-WS-327,3,Rescue,11/26/2018,8:22 AM,1,M,47,NY,US,Hunting,Injured,41.70949,-74.75311,1324,FALSE,Vehicle/boat evacuation,1,TRUE,Private Land,N/A,SULLIVAN,BETHEL,FALSE,FALSE,11/26/2018,10:30 AM,664,1046,POINT (-74.75311000000002 41.70949),2180
NY-2018-WS-326,5,Rescue,11/25/2018,2:10 AM,1,F,21,NY,US,Hiking,Injured,43.47071,-73.62174,682,TRUE,Carry out by foot; Vehicle/boat evacuation,4,TRUE,Private Land,Lake George Land Conservancy,WASHINGTON,FORT ANN,TRUE,FALSE,11/25/2018,3:41 AM,727,127,POINT (-73.62174 43.47071),2184
NY-2018-WS-325,5,Search,11/25/2018,1:32 AM,1,M,47,NY,US,Hunting,Overdue,43.21427,-73.91564,1854,TRUE,Assist/own power,3,TRUE,Forest Preserve,Wilcox Lake Wild Forest,SARATOGA,CORINTH,TRUE,FALSE,11/25/2018,6:00 AM,1008,807,POINT (-73.91564 43.21427),2141
NY-2018-WS-324,9,Search,11/19/2018,2:45 AM,1,M,16,NY,US,Hunting,Lost,42.30588,-79.17516,2072,FALSE,Assist/own power,3,TRUE,State Forests,Boutwell State Forest,CHAUTAUQUA,CHARLOTTE,FALSE,FALSE,11/19/2018,4:30 AM,218,1704,POINT (-79.17516 42.30588),2035
NY-2018-WS-324,9,Search,11/19/2018,2:45 AM,2,M,17,NY,US,Hunting,Lost,42.30588,-79.17516,2072,FALSE,Assist/own power,3,TRUE,State Forests,Boutwell State Forest,CHAUTAUQUA,CHARLOTTE,FALSE,FALSE,11/19/2018,4:30 AM,218,1704,POINT (-79.17516 42.30588),2035
NY-2018-WS-323,6,Search,11/15/2018,12:18 PM,2,M,63,NY,US,Hunting,Overdue,44.46718,-74.75713,1256,TRUE,Assist/own power,6,TRUE,Forest Preserve,White Hill Wild Forest,ST LAWRENCE,PARISHVILLE,TRUE,FALSE,11/15/2018,4:00 AM,316,1593,POINT (-74.75713 44.46718),2140
NY-2018-WS-323,6,Search,11/15/2018,12:18 PM,1,M,64,NY,US,Hunting,Overdue,44.46718,-74.75713,1256,TRUE,Assist/own power,6,TRUE,Forest Preserve,White Hill Wild Forest,ST LAWRENCE,PARISHVILLE,TRUE,FALSE,11/15/2018,4:00 AM,316,1593,POINT (-74.75713 44.46718),2140
NY-2018-WS-322,5,Search,11/12/2018,7:25 AM,1,M,75,NY,US,Hunting,Lost,43.125,-74.4493,1562,TRUE,Assist/own power,1,TRUE,Private Land,Private Land,FULTON,CAROGA,TRUE,FALSE,11/12/2018,9:00 AM,387,1227,POINT (-74.4493 43.125),2085
